City,State,Query,Coordinates,Latitude,Longitude
Diyarbakır,Sur,Diyarbakır Sur,"38.0427358,40.2806212",38.0427358,40.2806212
Diyarbakır,Lice,Diyarbakır Lice,"38.4631303,40.5048977",38.4631303,40.5048977
Diyarbakır,Kulp,Diyarbakır Kulp,"38.4822343,40.9031292",38.4822343,40.9031292
Diyarbakır,Kocaköy,Diyarbakır Kocaköy,"38.2899153,40.496137",38.2899153,40.496137
Diyarbakır,Ergani,Diyarbakır Ergani,"38.2672609,39.7496413",38.2672609,39.7496413
Diyarbakır,Kayapınar,Diyarbakır Kayapınar,"37.9228529,40.121393",37.9228529,40.121393
Diyarbakır,Hani,Diyarbakır Hani,"38.4272255,40.3125638",38.4272255,40.3125638
Diyarbakır,Yenişehir,Diyarbakır Yenişehir,"37.9228529,40.121393",37.9228529,40.121393
Diyarbakır,Hazro,Diyarbakır Hazro,"38.2281614,40.6765578",38.2281614,40.6765578
Düzce,Gölyaka,Düzce Gölyaka,"40.7778402,30.9634931",40.7778402,30.9634931
Düzce,Gümüşova,Düzce Gümüşova,"40.8477809,30.8338359",40.8477809,30.8338359
Düzce,Kaynaşlı,Düzce Kaynaşlı,"40.7738721,31.2990487",40.7738721,31.2990487
Düzce,Merkez,Düzce Merkez,"40.8107581,31.0248074",40.8107581,31.0248074
Düzce,Yığılca,Düzce Yığılca,"40.9624122,31.4368219",40.9624122,31.4368219
Düzce,Akçakoca,Düzce Akçakoca,"41.0813983,31.103425",41.0813983,31.103425
Düzce,Çilimli,Düzce Çilimli,"40.8919258,31.0341138",40.8919258,31.0341138
Düzce,Cumayeri,Düzce Cumayeri,"40.8764467,30.9355878",40.8764467,30.9355878
Edirne,Uzunköprü,Edirne Uzunköprü,"41.2592819,26.6629162",41.2592819,26.6629162
Edirne,Süloğlu,Edirne Süloğlu,"41.7669595,26.8939839",41.7669595,26.8939839
Edirne,Merkez,Edirne Merkez,"41.6657438,26.4098214",41.6657438,26.4098214
Edirne,Meriç,Edirne Meriç,"41.1841951,26.365459",41.1841951,26.365459
Edirne,İpsala,Edirne İpsala,"40.9158607,26.3684893",40.9158607,26.3684893
Edirne,Havsa,Edirne Havsa,"40.724813,26.0775",40.724813,26.0775
Edirne,Enez,Edirne Enez,"40.724813,26.0775",40.724813,26.0775
Edirne,Lalapaşa,Edirne Lalapaşa,"40.8184005,26.3924179",40.8184005,26.3924179
Edirne,Keşan,Edirne Keşan,"40.8184005,26.3924179",40.8184005,26.3924179
Elazığ,Maden,Elazığ Maden,"38.4167916,39.4175002",38.4167916,39.4175002
Elazığ,Sivrice,Elazığ Sivrice,"38.4124797,38.9941137",38.4124797,38.9941137
Elazığ,Palu,Elazığ Palu,"38.6896523,39.8799922",38.6896523,39.8799922
Elazığ,Merkez,Elazığ Merkez,"38.6688567,38.9861182",38.6688567,38.9861182
Elazığ,Kovancılar,Elazığ Kovancılar,"38.7181742,39.8543493",38.7181742,39.8543493
